word,frequency,rank
typically,1,474.5
typewriter,1,474.5
apply,1,474.5
del,1,474.5
behaved,1,474.5
constrain,1,474.5
gnedenko,1,474.5
glymour,1,474.5
gives,1,474.5
considered,1,474.5
gigantic,1,474.5
get,1,474.5
geometrically,1,474.5
genuinely,1,474.5
generously,1,474.5
generative,1,474.5
generating,1,474.5
generated,1,474.5
conspire,1,474.5
generalize,1,474.5
generalization,1,474.5
go,1,474.5
gosling,1,474.5
gram,1,474.5
grouping,1,474.5
handful,1,474.5
han,1,474.5
had,1,474.5
guilera,1,474.5
growth,1,474.5
growing,1,474.5
group,1,474.5
grammatical,1,474.5
grounds,1,474.5
grosse,1,474.5
griffiths,1,474.5
green,1,474.5
greater,1,474.5
grams,1,474.5
constant,1,474.5
gaussian,1,474.5
happening,1,474.5
gauss,1,474.5
fortunately,1,474.5
fornicating,1,474.5
formulae,1,474.5
former,1,474.5
formalized,1,474.5
formality,1,474.5
contrast,1,474.5
force,1,474.5
control,1,474.5
footnotes,1,474.5
foltz,1,474.5
controlled,1,474.5
fly,1,474.5
flat,1,474.5
flark,1,474.5
frame,1,474.5
frameworks,1,474.5
freedom,1,474.5
furthermore,1,474.5
gan,1,474.5
gamut,1,474.5
game,1,474.5
gained,1,474.5
constraints,1,474.5
future,1,474.5
fundamental,1,474.5
contradicted,1,474.5
function,1,474.5
constructing,1,474.5
fulfill,1,474.5
fucking,1,474.5
construction,1,474.5
continue,1,474.5
hanna,1,474.5
happy,1,474.5
convenient,1,474.5
improved,1,474.5
initially,1,474.5
initial,1,474.5
infrequent,1,474.5
comprehensive,1,474.5
computation,1,474.5
inevitably,1,474.5
computational,1,474.5
incremental,1,474.5
increasingly,1,474.5
incorporate,1,474.5
inconsistent,1,474.5
include,1,474.5
incarnation,1,474.5
inanimate,1,474.5
inadequate,1,474.5
input,1,474.5
ins,1,474.5
comprehenders,1,474.5
interpretable,1,474.5
introduced,1,474.5
introduce,1,474.5
intrinsically,1,474.5
intricate,1,474.5
complicated,1,474.5
interpreted,1,474.5
interpret,1,474.5
institute,1,474.5
internet,1,474.5
interlanguage,1,474.5
complication,1,474.5
interactions,1,474.5
intended,1,474.5
instructions,1,474.5
concas,1,474.5
concatenative,1,474.5
hardware,1,474.5
imply,1,474.5
hound,1,474.5
hope,1,474.5
hit,1,474.5
himself,1,474.5
highlighted,1,474.5
hierarchy,1,474.5
hidden,1,474.5
connecting,1,474.5
helpful,1,474.5
help,1,474.5
heights,1,474.5
heap,1,474.5
havlin,1,474.5
hatano,1,474.5
conserved,1,474.5
conjectural,1,474.5
huberman,1,474.5
hypotheses,1,474.5
illustrate,1,474.5
implication,1,474.5
implementation,1,474.5
implausibility,1,474.5
imagined,1,474.5
conceptual,1,474.5
illustrated,1,474.5
ignoring,1,474.5
hypothesized,1,474.5
idiomatic,1,474.5
identify,1,474.5
identically,1,474.5
ideally,1,474.5
ide,1,474.5
concerning,1,474.5
fixedness,1,474.5
conversation,1,474.5
quillian,1,474.5
divide,1,474.5
during,1,474.5
dumais,1,474.5
decade,1,474.5
dts,1,474.5
driving,1,474.5
driven,1,474.5
drawing,1,474.5
downside,1,474.5
decades,1,474.5
dogged,1,474.5
decay,1,474.5
documents,1,474.5
document,1,474.5
deciding,1,474.5
dmitrii,1,474.5
díaz,1,474.5
death,1,474.5
date,1,474.5
efforts,1,474.5
ellis,1,474.5
dahan,1,474.5
element,1,474.5
elaborations,1,474.5
elaboration,1,474.5
egghe,1,474.5
effort,1,474.5
earlier,1,474.5
dallas,1,474.5
effectively,1,474.5
ebra,1,474.5
ebbesen,1,474.5
easter,1,474.5
early,1,474.5
dividing,1,474.5
diversity,1,474.5
emit,1,474.5
distributional,1,474.5
determiner,1,474.5
determinant,1,474.5
despite,1,474.5
desires,1,474.5
desired,1,474.5
desert,1,474.5
descriptions,1,474.5
description,1,474.5
definition,1,474.5
deflationary,1,474.5
degree,1,474.5
depends,1,474.5
dependent,1,474.5
demonstrates,1,474.5
demonstrably,1,474.5
determines,1,474.5
developed,1,474.5
development,1,474.5
discrete,1,474.5
decreases,1,474.5
distinguish,1,474.5
distinct,1,474.5
disillusioned,1,474.5
discussions,1,474.5
discuss,1,474.5
discoveries,1,474.5
did,1,474.5
directions,1,474.5
difficulties,1,474.5
difficult,1,474.5
differs,1,474.5
differences,1,474.5
difference,1,474.5
emerge,1,474.5
current,1,474.5
conveys,1,474.5
cp,1,474.5
false,1,474.5
fails,1,474.5
factor,1,474.5
face,1,474.5
corresponds,1,474.5
extreme,1,474.5
extra,1,474.5
extinct,1,474.5
extensive,1,474.5
extend,1,474.5
exponentially,1,474.5
explicitly,1,474.5
explicit,1,474.5
counterpoint,1,474.5
counts,1,474.5
falsify,1,474.5
families,1,474.5
famously,1,474.5
fields,1,474.5
finite,1,474.5
finds,1,474.5
finding,1,474.5
finally,1,474.5
corner,1,474.5
correct,1,474.5
fhd,1,474.5
fast,1,474.5
few,1,474.5
corrected,1,474.5
fellbaum,1,474.5
feitelson,1,474.5
correctly,1,474.5
fat,1,474.5
coverings,1,474.5
crashed,1,474.5
empirically,1,474.5
expectations,1,474.5
cropping,1,474.5
erroneously,1,474.5
erroneous,1,474.5
equivalent,1,474.5
equal,1,474.5
environmental,1,474.5
environment,1,474.5
cues,1,474.5
entropies,1,474.5
entirety,1,474.5
enters,1,474.5
enough,1,474.5
encourage,1,474.5
encompassing,1,474.5
enchilada,1,474.5
established,1,474.5
creating,1,474.5
creates,1,474.5
examples,1,474.5
expect,1,474.5
exist,1,474.5
exhibits,1,474.5
exhibit,1,474.5
excluded,1,474.5
except,1,474.5
crashes,1,474.5
eunice,1,474.5
evolution,1,474.5
creatable,1,474.5
everything,1,474.5
evaluate,1,474.5
ev,1,474.5
euphemisms,1,474.5
introduces,1,474.5
introduction,1,474.5
invented,1,474.5
oldfield,1,474.5
building,1,474.5
burstiness,1,474.5
overviews,1,474.5
overlooked,1,474.5
overlap,1,474.5
call,1,474.5
outliers,1,474.5
otherwise,1,474.5
orlov,1,474.5
cardinal,1,474.5
optimize,1,474.5
optimizations,1,474.5
opposite,1,474.5
opposed,1,474.5
operations,1,474.5
paolacci,1,474.5
parametric,1,474.5
buhrmester,1,474.5
perspective,1,474.5
phrases,1,474.5
phrased,1,474.5
bring,1,474.5
phases,1,474.5
petersen,1,474.5
pervasive,1,474.5
personal,1,474.5
parts,1,474.5
periods,1,474.5
perforce,1,474.5
perfectly,1,474.5
penis,1,474.5
peculiarity,1,474.5
peculiar,1,474.5
carl,1,474.5
oldest,1,474.5
brief,1,474.5
catamaran,1,474.5
notation,1,474.5
notably,1,474.5
normalized,1,474.5
nor,1,474.5
nontrivial,1,474.5
nonsensical,1,474.5
nonindependence,1,474.5
nonetheless,1,474.5
nonelements,1,474.5
characteristic,1,474.5
non,1,474.5
characterize,1,474.5
nns,1,474.5
nihmsig,1,474.5
niche,1,474.5
noted,1,474.5
notes,1,474.5
noteworthy,1,474.5
observations,1,474.5
official,1,474.5
occurring,1,474.5
occurrence,1,474.5
occupies,1,474.5
occasionally,1,474.5
obvious,1,474.5
objects,1,474.5
chandler,1,474.5
cf,1,474.5
obeys,1,474.5
obeying,1,474.5
challenge,1,474.5
nth,1,474.5
noting,1,474.5
physical,1,474.5
pick,1,474.5
ipeirotis,1,474.5
biological,1,474.5
believes,1,474.5
proportion,1,474.5
proponent,1,474.5
property,1,474.5
belong,1,474.5
prominent,1,474.5
prokopenko,1,474.5
progress,1,474.5
programming,1,474.5
below,1,474.5
produced,1,474.5
bergen,1,474.5
bernhardsson,1,474.5
procedure,1,474.5
bias,1,474.5
proportionally,1,474.5
proposals,1,474.5
believe,1,474.5
puzzling,1,474.5
quickly,1,474.5
behavior,1,474.5
quantities,1,474.5
quantitative,1,474.5
quantify,1,474.5
quality,1,474.5
putting,1,474.5
being,1,474.5
put,1,474.5
push,1,474.5
purported,1,474.5
pure,1,474.5
puigdomènech,1,474.5
publication,1,474.5
primary,1,474.5
prevalence,1,474.5
pineapple,1,474.5
presents,1,474.5
polani,1,474.5
poisson,1,474.5
pointing,1,474.5
bodies,1,474.5
body,1,474.5
books,1,474.5
bottom,1,474.5
boundaries,1,474.5
plit,1,474.5
plausibly,1,474.5
platform,1,474.5
plastino,1,474.5
plan,1,474.5
bowing,1,474.5
pinna,1,474.5
pooled,1,474.5
poor,1,474.5
popular,1,474.5
powers,1,474.5
presented,1,474.5
birth,1,474.5
preference,1,474.5
prediction,1,474.5
blicket,1,474.5
prado,1,474.5
powerful,1,474.5
porter,1,474.5
blue,1,474.5
potentially,1,474.5
possibly,1,474.5
bob,1,474.5
posit,1,474.5
portions,1,474.5
nicely,1,474.5
ng,1,474.5
nevada,1,474.5
latency,1,474.5
locally,1,474.5
linguists,1,474.5
linearity,1,474.5
collins,1,474.5
limitations,1,474.5
limit,1,474.5
combined,1,474.5
comes,1,474.5
lexica,1,474.5
levin,1,474.5
letters,1,474.5
leon,1,474.5
led,1,474.5
commits,1,474.5
leads,1,474.5
collection,1,474.5
colleagues,1,474.5
logarithmically,1,474.5
maintain,1,474.5
manning,1,474.5
manner,1,474.5
coincide,1,474.5
manaris,1,474.5
malevergne,1,474.5
making,1,474.5
mainly,1,474.5
longitudinal,1,474.5
mahowald,1,474.5
magnuson,1,474.5
m,1,474.5
lyndon,1,474.5
louridas,1,474.5
collapsing,1,474.5
communicated,1,474.5
communities,1,474.5
neglected,1,474.5
compare,1,474.5
justify,1,474.5
justification,1,474.5
jupe,1,474.5
jth,1,474.5
jordan,1,474.5
johnson,1,474.5
jescheniak,1,474.5
james,1,474.5
j,1,474.5
compiled,1,474.5
ith,1,474.5
complement,1,474.5
issue,1,474.5
complete,1,474.5
iron,1,474.5
kanter,1,474.5
kawamura,1,474.5
kay,1,474.5
kyle,1,474.5
landauer,1,474.5
laham,1,474.5
lafferty,1,474.5
laemmel,1,474.5
lacks,1,474.5
label,1,474.5
kwang,1,474.5
kello,1,474.5
comparing,1,474.5
keywords,1,474.5
kessler,1,474.5
kennedy,1,474.5
kemp,1,474.5
kelly,1,474.5
cognition,1,474.5
mapping,1,474.5
march,1,474.5
marchesi,1,474.5
mother,1,474.5
mostly,1,474.5
choose,1,474.5
moscoso,1,474.5
morphological,1,474.5
moon,1,474.5
monotonically,1,474.5
monkeys,1,474.5
modern,1,474.5
clark,1,474.5
modeling,1,474.5
modeled,1,474.5
classic,1,474.5
mixtures,1,474.5
classification,1,474.5
motivate,1,474.5
moving,1,474.5
chomsky,1,474.5
nature,1,474.5
negative,1,474.5
needing,1,474.5
chart,1,474.5
necessarily,1,474.5
chater,1,474.5
nchilada,1,474.5
chen,1,474.5
multiple,1,474.5
child,1,474.5
narrowly,1,474.5
chitashvili,1,474.5
mystery,1,474.5
choices,1,474.5
multitude,1,474.5
missing,1,474.5
misestimation,1,474.5
misapplication,1,474.5
matrix,1,474.5
mds,1,474.5
mcmurray,1,474.5
coding,1,474.5
maximization,1,474.5
maximally,1,474.5
matters,1,474.5
mathematician,1,474.5
code,1,474.5
coefficients,1,474.5
matches,1,474.5
mason,1,474.5
martin,1,474.5
marcus,1,474.5
marcinkiewicz,1,474.5
meade,1,474.5
cock,1,474.5
mirrors,1,474.5
meroitic,1,474.5
minnhagen,1,474.5
minimizing,1,474.5
minimal,1,474.5
ming,1,474.5
minds,1,474.5
cleveland,1,474.5
mechanistically,1,474.5
meaningful,1,474.5
mechanism,1,474.5
mechanical,1,474.5
measures,1,474.5
measurable,1,474.5
clumpy,1,474.5
cluster,1,474.5
ones,1,474.5
